Vardas                   Pavarde                  ND1       ND2       ND3       ND4       ND5       ND6       ND7       ND8       ND9       ND10      Egz.
Vardas0                  Pavarde0                 6         7         3         10        0         6         9         5         10        10        1
Vardas1                  Pavarde1                 7         3         5         7         8         2         0         6         3         3         6
Vardas2                  Pavarde2                 2         0         1         10        10        0         7         8         5         3         0
Vardas3                  Pavarde3                 3         0         4         9         9         3         7         10        6         9         0
Vardas4                  Pavarde4                 6         3         9         8         0         7         2         4         3         2         10
Vardas5                  Pavarde5                 9         5         7         10        9         8         3         7         7         1         6
Vardas6                  Pavarde6                 5         0         7         8         7         9         9         1         5         0         3
Vardas7                  Pavarde7                 5         3         1         4         7         6         6         7         8         6         5
Vardas8                  Pavarde8                 3         8         10        8         6         10        4         1         4         4         1
Vardas9                  Pavarde9                 9         6         6         3         4         1         8         1         5         1         5
Vardas10                 Pavarde10                9         8         6         1         9         1         1         8         8         4         2
Vardas11                 Pavarde11                2         0         9         3         3         5         9         9         10        4         8
Vardas12                 Pavarde12                4         3         3         5         2         1         3         4         7         6         2
Vardas13                 Pavarde13                9         5         7         3         3         10        10        8         6         1         1
Vardas14                 Pavarde14                0         3         5         8         6         5         4         9         4         3         0
Vardas15                 Pavarde15                8         1         2         10        5         1         2         4         4         4         1
Vardas16                 Pavarde16                0         8         6         6         7         9         5         8         4         10        7
Vardas17                 Pavarde17                10        0         10        4         9         2         8         10        9         9         3
Vardas18                 Pavarde18                10        4         2         0         2         9         0         7         5         7         2
Vardas19                 Pavarde19                7         8         3         6         5         10        3         8         8         1         9
Vardas20                 Pavarde20                0         6         4         0         6         2         2         1         4         3         5
Vardas21                 Pavarde21                3         9         2         4         3         3         3         1         6         6         9
Vardas22                 Pavarde22                6         8         5         2         10        3         0         10        4         3         6
Vardas23                 Pavarde23                3         4         2         3         7         4         9         4         4         7         5
Vardas24                 Pavarde24                2         6         8         4         0         0         6         1         7         2         8
Vardas25                 Pavarde25                9         9         10        1         6         9         3         10        10        8         7
Vardas26                 Pavarde26                5         2         6         2         9         4         0         7         4         8         5
Vardas27                 Pavarde27                7         0         8         0         3         4         10        1         9         6         5
Vardas28                 Pavarde28                9         0         8         7         0         3         8         8         3         1         2
Vardas29                 Pavarde29                1         1         10        3         3         1         5         2         10        4         0
Vardas30                 Pavarde30                4         1         3         5         9         3         8         9         5         7         7
Vardas31                 Pavarde31                5         7         3         8         7         9         5         0         1         3         5
Vardas32                 Pavarde32                2         8         10        3         2         7         7         10        7         2         10
Vardas33                 Pavarde33                5         6         4         8         1         4         10        3         0         0         6
Vardas34                 Pavarde34                7         6         6         2         10        6         4         3         3         5         10
Vardas35                 Pavarde35                3         3         4         6         9         2         1         8         3         1         1
Vardas36                 Pavarde36                9         8         4         3         10        3         9         5         3         3         8
Vardas37                 Pavarde37                0         5         3         8         3         0         5         2         4         3         5
Vardas38                 Pavarde38                10        7         1         9         0         5         3         3         5         8         0
Vardas39                 Pavarde39                8         3         10        4         3         1         7         1         9         7         6
Vardas40                 Pavarde40                10        6         7         0         9         10        0         0         9         0         5
Vardas41                 Pavarde41                5         2         8         8         0         5         10        8         9         6         2
Vardas42                 Pavarde42                9         4         1         10        2         3         8         10        7         10        6
Vardas43                 Pavarde43                4         7         7         9         5         6         3         1         0         4         1
Vardas44                 Pavarde44                3         9         6         5         10        7         6         3         9         5         8
Vardas45                 Pavarde45                7         6         2         1         8         2         1         3         0         9         6
Vardas46                 Pavarde46                0         9         5         1         1         2         9         1         4         7         0
Vardas47                 Pavarde47                7         4         6         0         2         3         3         6         0         3         6
